Religion,Incidents,Offenses,Victims,Known_Offenders
Anti-Jewish,953,995,1032,602
Anti-Catholic,64,66,66,42
Anti-Protestant,24,24,24,19
Anti-Islamic (Muslim),176,219,227,145
Anti-Other Religion,88,108,108,56
"Anti-Multiple Religions, Group",37,42,44,26
Anti-Mormon,12,14,15,8
Anti-Jehovah's Witness,7,7,7,7
"Anti-Eastern Orthodox (Russian, Greek, Other)",44,47,49,34
Anti-Other Christian,49,60,65,23
Anti-Buddhist,5,5,5,5
Anti-Hindu,7,7,7,4
Anti-Sikh,49,50,60,36
Anti-Atheism/Agnosticism/etc.,6,6,6,5
Total,1521,1650,1715,1012
